Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,State_full_name,State_standard,Country
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,2011-10-21,10406,Georgia,Ga.,United States
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,2011-10-21,10407,Georgia,Ga.,United States
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,2011-10-21,10408,Florida,Fla.,United States
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,2011-10-14,10402,Illinois,Ill.,United States
First State Bank,Cranford,NJ,58046,Northfield Bank,2011-10-14,10403,New Jersey,N.J.,United States
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,2011-10-14,10401,North Carolina,N.C.,United States
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,2011-10-14,10404,Georgia,Ga.,United States
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,2011-10-07,10400,Missouri,Mo.,United States
The RiverBank,Wyoming,MN,10216,Central Bank,2011-10-07,10399,Minnesota,Minn.,United States
First International Bank,Plano,TX,33513,American First National Bank,2011-09-30,10398,Texas,Texas,United States
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,2011-09-23,10397,California,Calif.,United States
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,2011-09-23,10396,Virginia,Va.,United States
The First National Bank of Florida,Milton,FL,25155,CharterBank,2011-09-09,10395,Florida,Fla.,United States
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2011-09-02,10393,Georgia,Ga.,United States
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2011-09-02,10394,Georgia,Ga.,United States
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,2011-08-19,10390,Illinois,Ill.,United States
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,2011-08-19,10391,Georgia,Ga.,United States
Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",2011-08-19,10392,Florida,Fla.,United States
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",2011-08-18,10389,Pennsylvania,Pa.,United States
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,2011-08-12,10388,Kansas,Kan.,United States
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,2011-08-05,10387,Washington,Wash.,United States
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,2011-08-05,10386,Illinois,Ill.,United States
Integra Bank National Association,Evansville,IN,4392,Old National Bank,2011-07-29,10384,Indiana,Ind.,United States
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,2011-07-29,10383,South Carolina,S.C.,United States
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,2011-07-29,10385,Virginia,Va.,United States
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",2011-07-22,10380,Colorado,Colo.,United States
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,2011-07-22,10381,Florida,Fla.,United States
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,2011-07-22,10382,Florida,Fla.,United States
Summit Bank,Prescott,AZ,57442,The Foothills Bank,2011-07-15,10379,Arizona,Ariz.,United States
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",2011-07-15,10376,Florida,Fla.,United States
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,2011-07-15,10377,Georgia,Ga.,United States
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,2011-07-15,10378,Georgia,Ga.,United States
Signature Bank,Windsor,CO,57835,Points West Community Bank,2011-07-08,10375,Colorado,Colo.,United States
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,2011-07-08,10373,Colorado,Colo.,United States
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,2011-07-08,10374,Illinois,Ill.,United States
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,2011-06-24,10372,Georgia,Ga.,United States
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,2011-06-17,10370,Florida,Fla.,United States
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,2011-06-17,10371,Georgia,Ga.,United States
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",2011-06-03,10369,South Carolina,S.C.,United States
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,2011-05-27,10368,Washington,Wash.,United States
Summit Bank,Burlington,WA,513,Columbia State Bank,2011-05-20,10367,Washington,Wash.,United States
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",2011-05-20,10366,Georgia,Ga.,United States
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",2011-05-20,10365,Georgia,Ga.,United States
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-05-06,10364,Florida,Fla.,United States
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,2011-04-29,10359,Michigan,Mich.,United States
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,2011-04-29,10363,Georgia,Ga.,United States
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,2011-04-29,10361,Georgia,Ga.,United States
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,10360,Florida,Fla.,United States
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,10362,Florida,Fla.,United States
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,2011-04-15,10354,Mississippi,Miss.,United States
Rosemount National Bank,Rosemount,MN,24099,Central Bank,2011-04-15,10357,Minnesota,Minn.,United States
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",2011-04-15,10358,Alabama,Ala.,United States
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,2011-04-15,10356,Alabama,Ala.,United States
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,2011-04-15,10355,Georgia,Ga.,United States
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,2011-04-15,10353,Georgia,Ga.,United States
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,2011-04-08,10351,Nevada,Nev.,United States
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,2011-04-08,10352,Illinois,Ill.,United States
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,2011-03-25,10350,Illinois,Ill.,United States
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,2011-03-11,10348,Wisconsin,Wis.,United States
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,2011-03-11,10349,Oklahoma,Okla.,United States
Valley Community Bank,St. Charles,IL,34187,First State Bank,2011-02-25,10347,Illinois,Ill.,United States
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,2011-02-18,10346,California,Calif.,United States
Charter Oak Bank,Napa,CA,57855,Bank of Marin,2011-02-18,10343,California,Calif.,United States
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,2011-02-18,10344,Georgia,Ga.,United States
Habersham Bank,Clarkesville,GA,151,SCBT National Association,2011-02-18,10345,Georgia,Ga.,United States
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,2011-02-11,10340,California,Calif.,United States
Badger State Bank,Cassville,WI,13272,Royal Bank,2011-02-11,10339,Wisconsin,Wis.,United States
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,2011-02-11,10341,Michigan,Mich.,United States
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",2011-02-11,10342,Florida,Fla.,United States
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,2011-02-04,10337,Illinois,Ill.,United States
North Georgia Bank,Watkinsville,GA,35242,BankSouth,2011-02-04,10338,Georgia,Ga.,United States
American Trust Bank,Roswell,GA,57432,Renasant Bank,2011-02-04,10336,Georgia,Ga.,United States
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",2011-01-28,10333,New Mexico,N.M.,United States
FirsTier Bank,Louisville,CO,57646,No Acquirer,2011-01-28,10334,Colorado,Colo.,United States
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,2011-01-28,10332,Wisconsin,Wis.,United States
The First State Bank,Camargo,OK,2303,Bank 7,2011-01-28,10335,Oklahoma,Okla.,United States
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,2011-01-21,10331,Colorado,Colo.,United States
The Bank of Asheville,Asheville,NC,34516,First Bank,2011-01-21,10330,North Carolina,N.C.,United States
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",2011-01-21,10328,South Carolina,S.C.,United States
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,2011-01-21,10329,Georgia,Ga.,United States
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,2011-01-14,10327,Georgia,Ga.,United States
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,2011-01-07,10326,Arizona,Ariz.,United States
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,2011-01-07,10325,Florida,Fla.,United States
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,2010-12-17,10321,Minnesota,Minn.,United States
First Southern Bank,Batesville,AR,58052,Southern Bank,2010-12-17,10322,Arkansas,Ark.,United States
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,2010-12-17,10323,Georgia,Ga.,United States
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,2010-12-17,10319,Georgia,Ga.,United States
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,2010-12-17,10320,Georgia,Ga.,United States
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,2010-12-17,10324,Florida,Fla.,United States
Earthstar Bank,Southampton,PA,35561,Polonia Bank,2010-12-10,10317,Pennsylvania,Pa.,United States
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,2010-12-10,10318,Michigan,Mich.,United States
